gene_symbol,logfc,pval,pval_adj,scores,ensembl_id
PLCG2,3.3289185,0.0,0.0,63.48612,ENSG00000197943
FKBP5,3.0611417,0.0,0.0,52.84238,ENSG00000096060
XIST,12.718748,0.0,0.0,42.40536,ENSG00000229807
SPOCK1,0.930411,0.0,0.0,40.889877,ENSG00000152377
KCNMB4,1.633419,0.0,0.0,40.48371,ENSG00000135643
ZBTB16,1.3754095,1.096566556202363e-309,3.0713985726492656e-306,37.617886,ENSG00000109906
DIP2C,0.76691717,7.396354970554866e-278,1.6832254824240236e-274,35.617924,ENSG00000151240
PTPRM,2.8530622,1.8126180653970324e-275,3.882414646896279e-272,35.46325,ENSG00000173482
SLC7A14-AS1,1.0759765,3.2532485213430264e-264,6.580960286619016e-261,34.725456,ENSG00000285051
KAZN,1.2748902,4.817872045313514e-234,8.353731281616938e-231,32.665565,ENSG00000189337
NEAT1,0.95474696,6.24753825204748e-234,1.0340243765161492e-230,32.657616,ENSG00000245532
EPCAM-DT,1.6609778,1.2388865772357187e-209,1.8044135220122794e-206,30.898819,ENSG00000234690
PIP4K2A,0.4523369,8.939043355106428e-209,1.2518786409466742e-205,30.834862,ENSG00000150867
HPN-AS1,1.5008093,4.30063346877387e-207,5.799802439444228e-204,30.709118,ENSG00000227392
RPS6KA2,1.4361223,9.237362901721518e-206,1.2012530642052998e-202,30.609186,ENSG00000071242
KDM6A,1.037089,9.750588177917163e-198,1.224270402532137e-194,30.000214,ENSG00000147050
ENSG00000286749,1.2840064,4.570253352235436e-193,5.200377033174896e-190,29.63995,ENSG00000286749
MT-CO2,1.625342,4.373316868502766e-186,4.683565112233021e-183,29.093224,ENSG00000198712
BCL6,2.7541776,2.137439101330038e-181,2.1619009043785932e-178,28.720156,ENSG00000113916
PTPN13,1.2311436,2.658178362990871e-174,2.547094488242726e-171,28.14632,ENSG00000163629
CCDC144A,1.3302138,1.0820003053523845e-172,9.849448779622756e-170,28.014498,ENSG00000170160
MTUS1,0.8624221,3.2203162169984814e-170,2.8599549778865536e-167,27.8107,ENSG00000129422
SLC22A23,1.0053649,1.123876548767632e-169,9.743474498506433e-167,27.765778,ENSG00000137266
CLU,1.35697,2.2800989852728373e-169,1.9307666105059196e-166,27.74032,ENSG00000120885
DYSF,1.3705649,3.6401715833589755e-168,3.0124074475742505e-165,27.640402,ENSG00000135636
MT-CO1,1.4671088,1.374469750689281e-167,1.1121598347132912e-164,27.592354,ENSG00000198804
